Code	Name	State	Including States	Type of Region
11	Birmingham-Hoover-Talladega, AL CFS Area	AL	 	C
12	Mobile-Daphne-Fairhope, AL CFS Area	AL	 	C
19	Remainder of Alabama	AL	 	R
20	Alaska	AK	 	S
41	Phoenix-Mesa-Glendale, AZ CFS Area	AZ	 	M
42	Tucson-Nogales, AZ CFS Area	AZ	 	C
49	Remainder of Arizona	AZ	 	R
50	Remainder of Arkansas	AR	 	S
61	Los Angeles-Long Beach, CA CFS Area	CA	 	C
62	Sacramento-Roseville, CA CFS Area	CA	 	C
63	San Diego-Carlsbad-San Marcos, CA CFS Area	CA	 	M
64	San Jose-San Francisco-Oakland, CA CFS Area	CA	 	C
65	Fresno-Madera, CA CFS Area	CA	 	C
69	Remainder of California	CA	 	R
81	Denver-Aurora, CO CFS Area	CO	 	C
89	Remainder of Colorado	CO	 	R
91	Hartford-West Hartford-East Hartford, CT CFS Area	CT	 	M
92	New York-Newark, NY-NJ-CT-PA CFS Area (CT Part)	CT	NY, NY, PA	C
99	Remainder of Connecticut	CT	 	R
101	Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (DE Part)	DE	PA, NJ, MD	C
109	Remainder of Delaware	DE	 	R
111	Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (DC Part)	DC	VA, MD, WV	SM
121	Jacksonville-St. Marys-Palatka, FL-GA CFS Area (FL Part)	FL	GA	C
122	Miami-Fort Lauderdale-Port St. Lucie, FL CFS Area	FL	 	C
123	Orlando-Deltona-Daytona Beach, FL CFS Area	FL	 	C
124	Tampa-St. Petersburg-Clearwater, FL CFS Area	FL	 	M
129	Remainder of Florida	FL	 	R
131	Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area	GA	 	C
132	Savannah-Hinesville-Statesboro, GA CFS Area	GA	 	C
139	Remainder of Georgia	GA	 	R
151	Urban Honolulu, HI CFS Area	HI	 	M
159	Remainder of Hawaii	HI	 	R
160	Idaho	ID	IN, WI	S
171	Chicago-Naperville, IL-IN-WI CFS Area (IL Part)	IL	 	C
172	St. Louis-St. Charles-Farmington, MO-IL CFS Area (IL Part)	IL	MO	C
179	Remainder of Illinois	IL	 	R
181	Chicago-Naperville, IL-IN-WI CFS Area (IN Part)	IN	IL, WI	C
182	Indianapolis-Carmel-Muncie, IN CFS Area	IN	 	C
183	Fort Wayne-Huntington-Auburn, IN CFS Area	IN	 	C
189	Remainder of Indiana	IN	 	R
190	Remainder of Iowa	IA	 	S
201	Kansas City-Overland Park-Kansas City, MO-KS CFS Area (KS Part)	KS	MO	C
202	Wichita-Arkansas City-Winfield, KS CFS Area	KS	 	C
209	Remainder of Kansas	KS	 	R
211	Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (KY Part)	KY	OH, IN	C
212	Louisville/Jefferson County-Elizabethtown-Madison, KY-IN CFS Area (KY Part)	KY	IN	C
219	Remainder of Kentucky	KY	 	R
221	Baton Rouge, LA CFS Area	LA	 	M
222	Lake Charles, LA CFS Area	LA	 	M
223	New Orleans-Metairie-Hammond, LA-MS CFS Area (LA Part)	LA	MS	C
229	Remainder of Louisiana	LA	 	R
230	Remainder of Maine	ME	 	S
241	Baltimore-Columbia-Towson, MD CFS Area	MD	 	M
242	Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (MD Part)	MD	DC, VA, WV	M
249	Remainder of Maryland	MD	 	R
251	Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (MA Part)	MA	RI, NH, CT	C
259	Remainder of Massachusetts	MA	 	R
261	Detroit-Warren-Ann Arbor, MI CFS Area	MI	 	C
